lat,long,name,color,note
55.5292996,12.0426204,POWERLINE_ID,#FF0000,Pylon
55.526856,12.0431697,POWERLINE_ID,#FF0000,Pylon
55.5312913,12.0421827,POWERLINE_ID,#FF0000,Pylon
55.5356095,12.0428607,POWERLINE_ID,#FF0000,Pylon
55.5379748,12.0441997,POWERLINE_ID,#FF0000,Pylon
55.5334577,12.0416677,POWERLINE_ID,#FF0000,Pylon
55.5399224,12.0452726,POWERLINE_ID,#FF0000,Pylon
55.5421417,12.0465171,POWERLINE_ID,#FF0000,Pylon
55.5463519,12.0481736,POWERLINE_ID,#FF0000,Pylon
55.5486244,12.048723,POWERLINE_ID,#FF0000,Pylon
55.5508821,12.0492637,POWERLINE_ID,#FF0000,Pylon
55.5530378,12.049813,POWERLINE_ID,#FF0000,Pylon
55.5441279,12.0475814,POWERLINE_ID,#FF0000,Pylon
55.5550283,12.050328,POWERLINE_ID,#FF0000,Pylon
55.5573196,12.0509288,POWERLINE_ID,#FF0000,Pylon
55.5596545,12.0515725,POWERLINE_ID,#FF0000,Pylon
55.5619699,12.0521819,POWERLINE_ID,#FF0000,Pylon
55.5643094,12.0528085,POWERLINE_ID,#FF0000,Pylon
55.5662313,12.0533149,POWERLINE_ID,#FF0000,Pylon
55.5684298,12.0539329,POWERLINE_ID,#FF0000,Pylon
55.5704438,12.054465,POWERLINE_ID,#FF0000,Pylon
55.57238,12.05498,POWERLINE_ID,#FF0000,Pylon
55.5743986,12.0555207,POWERLINE_ID,#FF0000,Pylon
55.5763832,12.0560357,POWERLINE_ID,#FF0000,Pylon
55.5788188,12.056731,POWERLINE_ID,#FF0000,Pylon
55.5807886,12.0572459,POWERLINE_ID,#FF0000,Pylon
55.582962,12.0578382,POWERLINE_ID,#FF0000,Pylon
55.585373,12.0584647,POWERLINE_ID,#FF0000,Pylon
55.5923869,12.0603959,POWERLINE_ID,#FF0000,Pylon
55.587716,12.0591171,POWERLINE_ID,#FF0000,Pylon
55.5946858,12.0609967,POWERLINE_ID,#FF0000,Pylon
55.479923,12.0460972,POWERLINE_ID,#FF0000,Pylon
55.4833087,12.0512695,POWERLINE_ID,#FF0000,Pylon
55.483784,12.0545165,POWERLINE_ID,#FF0000,Pylon
55.4835117,12.061486,POWERLINE_ID,#FF0000,Pylon
55.4836381,12.0584132,POWERLINE_ID,#FF0000,Pylon
55.4834096,12.0643785,POWERLINE_ID,#FF0000,Pylon
55.4832491,12.068155,POWERLINE_ID,#FF0000,Pylon
55.4816927,12.0487745,POWERLINE_ID,#FF0000,Pylon
55.4550059,12.0066402,POWERLINE_ID,#FF0000,Pylon
55.4653227,12.0224416,POWERLINE_ID,#FF0000,Pylon
55.458111,12.0072496,POWERLINE_ID,#FF0000,Pylon
55.4676728,12.0273683,POWERLINE_ID,#FF0000,Pylon
55.4727326,12.0380542,POWERLINE_ID,#FF0000,Pylon
55.4713266,12.0350673,POWERLINE_ID,#FF0000,Pylon
55.4524416,12.0071967,POWERLINE_ID,#FF0000,Pylon
55.4762918,12.045669,POWERLINE_ID,#FF0000,Pylon
55.4745958,12.0419938,POWERLINE_ID,#FF0000,Pylon
55.4762838,12.0493238,POWERLINE_ID,#FF0000,Pylon
55.4598386,12.0108802,POWERLINE_ID,#FF0000,Pylon
55.4634396,12.0184333,POWERLINE_ID,#FF0000,Pylon
55.4762108,12.0538985,POWERLINE_ID,#FF0000,Pylon
55.4524577,12.0065667,POWERLINE_ID,#FF0000,Pylon
55.4696822,12.0316255,POWERLINE_ID,#FF0000,Pylon
55.4770621,12.0790298,POWERLINE_ID,#FF0000,Pylon
55.4780933,12.0814073,POWERLINE_ID,#FF0000,Pylon
55.4764541,12.0602929,POWERLINE_ID,#FF0000,Pylon
55.4840856,12.0896814,POWERLINE_ID,#FF0000,Pylon
55.4822909,12.0878875,POWERLINE_ID,#FF0000,Pylon
55.4901304,12.0958097,POWERLINE_ID,#FF0000,Pylon
55.4798395,12.0854413,POWERLINE_ID,#FF0000,Pylon
55.493291,12.0989597,POWERLINE_ID,#FF0000,Pylon
55.5037437,12.1095254,POWERLINE_ID,#FF0000,Pylon
55.5067282,12.1125295,POWERLINE_ID,#FF0000,Pylon
55.4985372,12.1042382,POWERLINE_ID,#FF0000,Pylon
55.5097417,12.1156366,POWERLINE_ID,#FF0000,Pylon
55.5129397,12.1188638,POWERLINE_ID,#FF0000,Pylon
55.4766486,12.0664041,POWERLINE_ID,#FF0000,Pylon
55.4768773,12.072953,POWERLINE_ID,#FF0000,Pylon
55.49615,12.1018522,POWERLINE_ID,#FF0000,Pylon
55.5149808,12.1209237,POWERLINE_ID,#FF0000,Pylon
